site,place_name,date,YYYYMMDD,latitude,longitude,primary_observer,secondary_observer,start_time,end_time,depth_m,quadrat,macroalgae_cover_0.25msq,diatom_cover_0.25msq,eelgrass_shoots_0.25msq,flowering_shoots_0.25msq,primary_sediment,secondary_sediment,primary_sediment_score,secondary_sediment_score,notes,,
2018_L_01,North Pass,7/11/2018,20180711,55.229743,-132.924047,WR,AB,530,,-0.5,1,3,95,54,1,MS,S,3,4,,,
2018_L_01,North Pass,7/11/2018,20180711,55.229743,-132.924047,WR,AB,530,,-0.5,2,0,96,46,0,MS,MS,3,3,,,
2018_L_01,North Pass,7/11/2018,20180711,55.229743,-132.924047,WR,AB,530,,-0.5,3,0,100,77,1,S,MS,4,3,,,
2018_L_01,North Pass,7/11/2018,20180711,55.229743,-132.924047,WR,AB,530,,-0.5,4,0,98,49,0,MS,S,3,4,,,
2018_L_01,North Pass,7/11/2018,20180711,55.229743,-132.924047,WR,AB,530,,-0.5,5,0,98,33,0,MS,G,3,7,,,
2018_L_01,North Pass,7/11/2018,20180711,55.229743,-132.924047,WR,AB,530,,-0.5,6,0,98,71,2,M,G,1,7,,,
2018_L_01,North Pass,7/11/2018,20180711,55.229743,-132.924047,WR,AB,530,,-0.5,7,0,90,47,0,MS,S,3,4,,,
2018_L_01,North Pass,7/11/2018,20180711,55.229743,-132.924047,WR,AB,530,,-0.5,8,0,100,29,0,SM,MS,2,3,,,
2018_L_02,Natzuhini,7/12/2018,20180712,55.249258,-132.881141,WR,AB,615,,-0.5,1,10,90,39,0,MS,G,3,7,,,
2018_L_02,Natzuhini,7/12/2018,20180712,55.249258,-132.881141,WR,AB,615,,-0.5,2,0,98,66,0,MS,G,3,7,,,
2018_L_02,Natzuhini,7/12/2018,20180712,55.249258,-132.881141,WR,AB,615,,-0.5,3,0,100,39,1,SM,G,2,7,,,
2018_L_02,Natzuhini,7/12/2018,20180712,55.249258,-132.881141,WR,AB,615,,-0.5,4,0,98,80,0,SM,G,2,7,,,
2018_L_02,Natzuhini,7/12/2018,20180712,55.249258,-132.881141,WR,AB,615,,-0.5,5,2,98,78,0,MS,G,3,7,,,
2018_L_02,Natzuhini,7/12/2018,20180712,55.249258,-132.881141,WR,AB,615,,-0.5,6,0,100,37,0,SM,C,2,8,,,
2018_L_02,Natzuhini,7/12/2018,20180712,55.249258,-132.881141,WR,AB,615,,-0.5,7,0,100,57,0,SM,C,2,8,,,
2018_L_02,Natzuhini,7/12/2018,20180712,55.249258,-132.881141,WR,AB,615,,-0.5,8,5,95,45,1,SM,C,2,8,,,
2018_L_03,Sukkwan,7/13/2018,20180713,55.189095,-132.84324,WR,TS,750,,-0.61,1,2,98,73,0,SM,G,2,7,,,
2018_L_03,Sukkwan,7/13/2018,20180713,55.189095,-132.84324,WR,TS,750,,-0.61,2,0,85,55,0,MS,S,3,4,,,
2018_L_03,Sukkwan,7/13/2018,20180713,55.189095,-132.84324,WR,TS,750,,-0.61,3,0,95,48,2,MS,G,3,7,,,
2018_L_03,Sukkwan,7/13/2018,20180713,55.189095,-132.84324,WR,TS,750,,-0.61,4,4,75,70,1,SM,MS,2,3,,,
2018_L_03,Sukkwan,7/13/2018,20180713,55.189095,-132.84324,WR,TS,750,,-0.61,5,5,75,65,0,SM,S,2,4,,,
2018_L_03,Sukkwan,7/13/2018,20180713,55.189095,-132.84324,WR,TS,750,,-0.61,6,5,90,66,2,SM,MS,2,3,,,
2018_L_03,Sukkwan,7/13/2018,20180713,55.189095,-132.84324,WR,TS,750,,-0.61,7,0,70,50,1,MS,MS,3,3,,,
2018_L_03,Sukkwan,7/13/2018,20180713,55.189095,-132.84324,WR,TS,750,,-0.61,8,0,70,66,2,MS,MS,3,3,,,
2018_H_01,Kaguk Cove,7/14/2018,20180714,55.735283,-133.295189,WR,TS,830,,-0.61,1,5,30,48,1,S,MS,4,3,,,
2018_H_01,Kaguk Cove,7/14/2018,20180714,55.735283,-133.295189,WR,TS,830,,-0.61,2,8,10,38,1,S,S,4,4,,,
2018_H_01,Kaguk Cove,7/14/2018,20180714,55.735283,-133.295189,WR,TS,830,,-0.61,3,5,10,63,1,S,S,4,4,,,
2018_H_01,Kaguk Cove,7/14/2018,20180714,55.735283,-133.295189,WR,TS,830,,-0.61,4,10,15,50,0,S,MS,4,3,,,
2018_H_01,Kaguk Cove,7/14/2018,20180714,55.735283,-133.295189,WR,TS,830,,-0.61,5,10,10,53,0,S,MS,4,3,,,
2018_H_01,Kaguk Cove,7/14/2018,20180714,55.735283,-133.295189,WR,TS,830,,-0.61,6,10,10,53,2,S,S,4,4,,,
2018_H_01,Kaguk Cove,7/14/2018,20180714,55.735283,-133.295189,WR,TS,830,,-0.61,7,0,5,50,0,S,MS,4,3,,,
2018_H_01,Kaguk Cove,7/14/2018,20180714,55.735283,-133.295189,WR,TS,830,,-0.61,8,0,15,56,6,S,S,4,4,,,
2018_H_02,Gaktu Cove,7/15/2018,20180715,55.738953,-133.313514,WR,TS,1055,,-0.5,1,0,90,67,2,SM,MS,2,3,,,
2018_H_02,Gaktu Cove,7/15/2018,20180715,55.738953,-133.313514,WR,TS,1055,,-0.5,2,0,95,87,2,SM,SM,2,2,,,
2018_H_02,Gaktu Cove,7/15/2018,20180715,55.738953,-133.313514,WR,TS,1055,,-0.5,3,0,75,52,0,M,SM,1,2,,,
2018_H_02,Gaktu Cove,7/15/2018,20180715,55.738953,-133.313514,WR,TS,1055,,-0.5,4,0,75,52,2,M,M,1,1,,,
2018_H_02,Gaktu Cove,7/15/2018,20180715,55.738953,-133.313514,WR,TS,1055,,-0.5,5,0,60,58,0,M,SM,1,2,,,
2018_H_02,Gaktu Cove,7/15/2018,20180715,55.738953,-133.313514,WR,TS,1055,,-0.5,6,0,50,64,2,M,SM,1,2,,,
2018_H_02,Gaktu Cove,7/15/2018,20180715,55.738953,-133.313514,WR,TS,1055,,-0.5,7,0,80,44,1,M,M,1,1,,,
2018_H_02,Gaktu Cove,7/15/2018,20180715,55.738953,-133.313514,WR,TS,1055,,-0.5,8,0,60,48,3,M,SM,1,2,,,
2018_H_03,Nossuk Bay,7/16/2018,20180716,55.706493,-133.341566,WR,TS,915,,-0.5,1,0,50,54,1,SM,S,2,4,,,
2018_H_03,Nossuk Bay,7/16/2018,20180716,55.706493,-133.341566,WR,TS,915,,-0.5,2,0,60,49,0,SM,SM,2,2,,,
2018_H_03,Nossuk Bay,7/16/2018,20180716,55.706493,-133.341566,WR,TS,915,,-0.5,3,0,75,78,1,SM,SM,2,2,,,
2018_H_03,Nossuk Bay,7/16/2018,20180716,55.706493,-133.341566,WR,TS,915,,-0.5,4,0,85,51,2,MS,S,3,4,,,
2018_H_03,Nossuk Bay,7/16/2018,20180716,55.706493,-133.341566,WR,TS,915,,-0.5,5,0,70,86,5,SM,M,2,1,,,
2018_H_03,Nossuk Bay,7/16/2018,20180716,55.706493,-133.341566,WR,TS,915,,-0.5,6,0,100,67,1,M,M,1,1,,,
2018_H_03,Nossuk Bay,7/16/2018,20180716,55.706493,-133.341566,WR,TS,915,,-0.5,7,0,100,80,2,M,M,1,1,,,
2018_H_03,Nossuk Bay,7/16/2018,20180716,55.706493,-133.341566,WR,TS,915,,-0.5,8,0,90,53,0,M,M,1,1,,,
