"Model","Coef","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC%ofSD","SSeff","AC.200","psrf"
"4b","among site",0.2673,0.3952,0.5662,0.4058,0.0799,NA,7e-04,0.8,15087,-5e-04,1.0001
"4b","within site",0.2671,0.2987,0.3355,0.2994,0.0177,NA,1e-04,0.7,20460,-0.0019,0.9999
"4b","intercept",-0.0456,0.3213,0.6861,0.3225,0.1848,NA,0.0041,2.2,2003,0.1417,1.0003
"4b","time",0.0043,0.0095,0.0148,0.0095,0.0027,NA,1e-04,2.2,2092,0.1409,1.0003
"4b","SOI",0.0698,0.3538,0.6377,0.3539,0.1437,NA,0.0017,1.2,7453,-0.0017,1.0003
"4g","among site",0.2705,0.3954,0.5681,0.4058,0.0797,NA,6e-04,0.8,15331,0.0089,1
"4g","within site",0.2648,0.2985,0.334,0.2994,0.0177,NA,1e-04,0.7,20300,6e-04,1.0002
"4g","intercept",-0.0537,0.3263,0.6901,0.324,0.187,NA,0.004,2.1,2237,0.1039,1.0015
"4g","time",-0.1071,-0.0125,0.0937,-0.0125,0.0511,NA,0.0092,18.1,31,0.9709,2.0832
"4g","time^2",-0.085,0.0219,0.1171,0.022,0.0511,NA,0.0093,18.2,30,0.971,2.0818
"4g","SOI",0.0691,0.3528,0.6344,0.3531,0.1443,NA,0.0017,1.2,7333,-0.0081,1.0008
"4a","among site",0.3211,0.4573,0.6492,0.4687,0.0871,NA,7e-04,0.8,15852,0.0041,1.0003
"4a","within site",0.2664,0.2983,0.3347,0.2993,0.0176,NA,1e-04,0.7,20115,0.0033,1
"4a","intercept",-0.0718,0.3453,0.7576,0.3451,0.2125,NA,0.0053,2.5,1634,0.2105,1.0037
"4a","time",0.003,0.0091,0.015,0.0091,0.0031,NA,1e-04,2.5,1596,0.228,1.0036
